

app  = cjpeg
algo = multicut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=2 -ise-archi-max-output=1
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 2
===-------------------------------------------------------------------------===
                      ... Pass execution timing report ...
===-------------------------------------------------------------------------===
  Total Execution Time: 1.4647 seconds (1.4644 wall clock)

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  ---Mem---  --- Name ---
   1.4537 ( 99.7%)   0.0079 (100.0%)   1.4617 ( 99.7%)   1.4616 ( 99.8%)      12880  instruction-set extension (identification & selection)
   0.0019 (  0.1%)   0.0000 (  0.0%)   0.0019 (  0.1%)   0.0016 (  0.1%)        136  Module Verifier
   0.0010 (  0.0%)   0.0000 (  0.0%)   0.0010 (  0.0%)   0.0011 (  0.0%)      10000  Dominator Tree Construction
   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)          0  Preliminary module verification
   1.4567 (100.0%)   0.0079 (100.0%)   1.4647 (100.0%)   1.4644 (100.0%)      23016  TOTAL

# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 2
DAG_size	, msecs		, it	, candidate_found
2		, 0.04218	, 2371	, 0
2		, 0.04223	, 2368	, 0
2		, 0.04235	, 2361	, 0
2		, 0.04241	, 2358	, 0
2		, 0.04252	, 2352	, 0
2		, 0.04259	, 2348	, 0
2		, 0.04294	, 2329	, 0
2		, 0.04297	, 2327	, 0
2		, 0.04299	, 2326	, 0
2		, 0.04307	, 2322	, 0
2		, 0.04308	, 2321	, 0
2		, 0.04316	, 2317	, 0
2		, 0.04323	, 2313	, 0
2		, 0.04323	, 2313	, 0
2		, 0.04331	, 2309	, 0
2		, 0.04335	, 2307	, 0
2		, 0.04346	, 2301	, 0
2		, 0.04348	, 2300	, 0
2		, 0.04350	, 2299	, 0
2		, 0.04352	, 2298	, 0
2		, 0.04352	, 2298	, 0
2		, 0.04359	, 2294	, 0
2		, 0.04361	, 2293	, 0
2		, 0.04369	, 2289	, 0
2		, 0.04388	, 2279	, 0
2		, 0.04394	, 2276	, 0
2		, 0.04413	, 2266	, 0
3		, 0.04871	, 2053	, 0
3		, 0.05051	, 1980	, 0
3		, 0.05115	, 1955	, 0
3		, 0.05120	, 1953	, 0
3		, 0.05141	, 1945	, 0
3		, 0.05149	, 1942	, 0
3		, 0.05155	, 1940	, 0
3		, 0.05157	, 1939	, 0
3		, 0.05225	, 1914	, 0
3		, 0.05319	, 1880	, 0
3		, 0.05322	, 1879	, 0
3		, 0.06072	, 1647	, 0
3		, 0.06105	, 1638	, 0
3		, 0.06127	, 1632	, 0
3		, 0.06139	, 1629	, 0
3		, 0.06146	, 1627	, 0
3		, 0.06161	, 1623	, 0
3		, 0.06262	, 1597	, 0
3		, 0.07305	, 1369	, 0
3		, 0.07386	, 1354	, 0
3		, 0.07440	, 1344	, 0
3		, 0.07452	, 1342	, 0
3		, 0.07457	, 1341	, 0
3		, 0.07479	, 1337	, 0
3		, 0.07524	, 1329	, 0
4		, 0.05992	, 1669	, 0
4		, 0.06098	, 1640	, 0
4		, 0.08190	, 1221	, 0
4		, 0.08203	, 1219	, 0
4		, 0.08251	, 1212	, 0
4		, 0.08264	, 1210	, 0
4		, 0.09381	, 1066	, 0
4		, 0.09506	, 1052	, 0
4		, 0.09542	, 1048	, 0
4		, 0.09671	, 1034	, 0
5		, 0.10152	, 985	, 0
5		, 0.10764	, 929	, 0
5		, 0.11442	, 874	, 0
5		, 0.22173	, 451	, 0
5		, 0.22371	, 447	, 0
5		, 0.22472	, 445	, 0
5		, 0.22573	, 443	, 0
5		, 0.22624	, 442	, 0
5		, 0.22727	, 440	, 0
5		, 0.22779	, 439	, 0
5		, 0.22936	, 436	, 0
6		, 0.08489	, 1178	, 0
6		, 0.10858	, 921	, 0
6		, 0.13333	, 750	, 0
6		, 0.13333	, 750	, 0
6		, 0.13369	, 748	, 0
6		, 0.13495	, 741	, 0
6		, 0.15576	, 642	, 0
7		, 0.22272	, 449	, 0
7		, 0.22472	, 445	, 0
7		, 0.22472	, 445	, 0
7		, 0.22523	, 444	, 0
7		, 0.22523	, 444	, 0
7		, 0.22573	, 443	, 0
7		, 0.22624	, 442	, 0
7		, 0.22624	, 442	, 0
7		, 0.22727	, 440	, 0
7		, 0.22727	, 440	, 0
7		, 0.22727	, 440	, 0
7		, 0.22779	, 439	, 0
7		, 0.22779	, 439	, 0
7		, 0.22779	, 439	, 0
7		, 0.22779	, 439	, 0
7		, 0.22883	, 437	, 0
7		, 0.22883	, 437	, 0
7		, 0.22936	, 436	, 0
7		, 0.22936	, 436	, 0
7		, 0.22936	, 436	, 0
7		, 0.77519	, 129	, 0
8		, 0.17452	, 573	, 0
8		, 0.24752	, 404	, 0
8		, 0.25000	, 400	, 0
8		, 0.41494	, 241	, 0
8		, 0.41667	, 240	, 0
9		, 0.10299	, 971	, 0
9		, 0.10428	, 959	, 0
9		, 0.12240	, 817	, 0
9		, 0.12346	, 810	, 0
9		, 0.33445	, 299	, 0
9		, 0.50505	, 198	, 0
9		, 0.72464	, 138	, 0
10		, 0.11669	, 857	, 0
10		, 0.11793	, 848	, 0
10		, 0.14472	, 691	, 0
10		, 0.38610	, 259	, 0
10		, 0.40161	, 249	, 0
10		, 0.40650	, 246	, 0
10		, 0.44248	, 226	, 0
10		, 0.51020	, 196	, 0
10		, 1.17647	, 85	, 0
10		, 2.50000	, 40	, 0
11		, 0.47170	, 212	, 0
11		, 0.47393	, 211	, 0
14		, 0.18797	, 532	, 0
15		, 1.58730	, 63	, 0
15		, 2.14894	, 47	, 0
15		, 2.14894	, 47	, 0
15		, 2.14894	, 47	, 0
34		, 19.66670	, 6	, 0
42		, 65.50000	, 2	, 0
48		, 226.50000	, 2	, 0
137		, 1073.00000	, 2	, 0
