

app  = aes
algo = singlecut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=2 -ise-archi-max-output=2
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 2
- changing value of MaxOutput_: 2
# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 2
- changing value of MaxOutput_: 2
DAG_size	, msecs		, it	, candidate_found
1		, 0.01698	, 5890	, 0
1		, 0.01699	, 5885	, 0
1		, 0.01721	, 5812	, 0
1		, 0.01738	, 5754	, 0
3		, 0.02974	, 3362	, 1
3		, 0.03039	, 3291	, 0
3		, 0.03324	, 3008	, 3
3		, 0.03349	, 2986	, 3
3		, 0.03350	, 2985	, 3
3		, 0.03357	, 2979	, 3
3		, 0.03373	, 2965	, 3
3		, 0.03400	, 2941	, 3
3		, 0.03400	, 2941	, 3
3		, 0.03404	, 2938	, 3
3		, 0.03413	, 2930	, 3
3		, 0.03433	, 2913	, 3
3		, 0.03446	, 2902	, 3
3		, 0.03481	, 2873	, 3
4		, 0.03782	, 2644	, 1
4		, 0.03821	, 2617	, 1
4		, 0.03851	, 2597	, 1
4		, 0.03857	, 2593	, 1
4		, 0.04983	, 2007	, 3
5		, 0.04149	, 2410	, 3
5		, 0.05473	, 1827	, 2
5		, 0.06472	, 1545	, 12
5		, 0.06506	, 1537	, 5
5		, 0.06549	, 1527	, 5
5		, 0.06553	, 1526	, 5
5		, 0.06575	, 1521	, 5
5		, 0.06575	, 1521	, 5
5		, 0.06636	, 1507	, 5
5		, 0.06636	, 1507	, 5
5		, 0.06640	, 1506	, 5
5		, 0.06645	, 1505	, 5
5		, 0.06793	, 1472	, 6
5		, 0.06812	, 1468	, 11
5		, 0.06854	, 1459	, 6
6		, 0.04572	, 2187	, 3
6		, 0.04632	, 2159	, 1
6		, 0.04704	, 2126	, 1
6		, 0.04710	, 2123	, 3
6		, 0.04724	, 2117	, 1
6		, 0.04822	, 2074	, 1
6		, 0.05627	, 1777	, 3
6		, 0.05650	, 1770	, 3
6		, 0.05675	, 1762	, 3
6		, 0.05685	, 1759	, 3
6		, 0.05688	, 1758	, 3
6		, 0.05708	, 1752	, 3
6		, 0.05731	, 1745	, 3
6		, 0.05757	, 1737	, 3
6		, 0.05767	, 1734	, 3
6		, 0.05780	, 1730	, 3
6		, 0.06173	, 1620	, 10
6		, 0.06180	, 1618	, 10
6		, 0.06184	, 1617	, 10
6		, 0.06219	, 1608	, 10
6		, 0.06289	, 1590	, 10
6		, 0.06293	, 1589	, 10
6		, 0.06845	, 1461	, 3
6		, 0.06944	, 1440	, 10
6		, 0.07153	, 1398	, 10
6		, 0.09843	, 1016	, 22
6		, 0.10050	, 995	, 22
6		, 0.10101	, 990	, 22
6		, 0.10101	, 990	, 22
6		, 0.10132	, 987	, 22
6		, 0.10132	, 987	, 22
6		, 0.10173	, 983	, 22
6		, 0.10183	, 982	, 22
6		, 0.10235	, 977	, 22
6		, 0.10235	, 977	, 22
6		, 0.10235	, 977	, 22
6		, 0.10246	, 976	, 22
6		, 0.10256	, 975	, 22
6		, 0.10278	, 973	, 22
7		, 0.07246	, 1380	, 12
7		, 0.11933	, 838	, 8
7		, 0.11933	, 838	, 8
7		, 0.12422	, 805	, 16
7		, 0.12453	, 803	, 16
7		, 0.12484	, 801	, 16
7		, 0.12547	, 797	, 16
7		, 0.17094	, 585	, 36
7		, 0.17241	, 580	, 36
7		, 0.17271	, 579	, 36
7		, 0.17271	, 579	, 36
8		, 0.07616	, 1313	, 11
8		, 0.07675	, 1303	, 11
8		, 0.07825	, 1278	, 11
8		, 0.07831	, 1277	, 11
8		, 0.07874	, 1270	, 6
8		, 0.07911	, 1264	, 11
8		, 0.07962	, 1256	, 11
8		, 0.07968	, 1255	, 6
8		, 0.08026	, 1246	, 6
8		, 0.15504	, 645	, 13
8		, 0.22173	, 451	, 27
8		, 0.26316	, 380	, 46
9		, 0.09074	, 1102	, 12
9		, 0.09242	, 1082	, 12
9		, 0.09268	, 1079	, 12
9		, 0.17921	, 558	, 18
10		, 0.10753	, 930	, 7
10		, 0.10858	, 921	, 7
10		, 0.12804	, 781	, 9
10		, 0.33898	, 295	, 71
10		, 0.41152	, 243	, 60
11		, 0.54348	, 184	, 64
11		, 0.81967	, 122	, 121
12		, 0.59172	, 169	, 95
12		, 0.59524	, 168	, 95
12		, 0.59524	, 168	, 95
13		, 0.43668	, 229	, 79
14		, 0.28329	, 353	, 37
14		, 1.29870	, 77	, 159
14		, 1.29870	, 77	, 159
14		, 1.29870	, 77	, 159
14		, 1.31579	, 76	, 163
15		, 1.00000	, 100	, 39
17		, 0.34130	, 293	, 18
17		, 0.72464	, 138	, 53
22		, 4.43478	, 23	, 145
24		, 2.27273	, 44	, 70
25		, 2.34884	, 43	, 70
25		, 2.37209	, 43	, 70
28		, 3.09091	, 33	, 112
29		, 3.12500	, 32	, 112
29		, 3.25806	, 31	, 112
29		, 4.47826	, 23	, 180
29		, 5.00000	, 20	, 383
