

app  = aes
algo = multicut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=4 -ise-archi-max-output=1
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 4
# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 4
DAG_size	, msecs		, it	, candidate_found
1		, 0.03094	, 3232	, 0
1		, 0.03120	, 3205	, 0
1		, 0.03154	, 3171	, 0
1		, 0.03159	, 3166	, 0
3		, 0.05089	, 1965	, 0
3		, 0.05316	, 1881	, 0
3		, 0.07358	, 1359	, 0
3		, 0.07429	, 1346	, 0
3		, 0.07429	, 1346	, 0
3		, 0.07479	, 1337	, 0
3		, 0.07496	, 1334	, 0
3		, 0.07519	, 1330	, 0
3		, 0.07519	, 1330	, 0
3		, 0.07524	, 1329	, 0
3		, 0.07559	, 1323	, 0
3		, 0.07564	, 1322	, 0
3		, 0.07570	, 1321	, 0
3		, 0.07651	, 1307	, 0
4		, 0.08123	, 1231	, 0
4		, 0.08190	, 1221	, 0
4		, 0.08210	, 1218	, 0
4		, 0.08299	, 1205	, 0
4		, 0.16313	, 613	, 0
5		, 0.08711	, 1148	, 0
5		, 0.21459	, 466	, 0
5		, 0.23148	, 432	, 0
5		, 0.23585	, 424	, 0
5		, 0.23697	, 422	, 0
5		, 0.28011	, 357	, 0
5		, 0.28011	, 357	, 0
5		, 0.28090	, 356	, 0
5		, 0.28090	, 356	, 0
5		, 0.28329	, 353	, 0
5		, 0.28329	, 353	, 0
5		, 0.28329	, 353	, 0
5		, 0.28329	, 353	, 0
5		, 0.28409	, 352	, 0
5		, 0.28736	, 348	, 0
6		, 0.10194	, 981	, 0
6		, 0.10965	, 912	, 0
6		, 0.11062	, 904	, 0
6		, 0.11161	, 896	, 0
6		, 0.11299	, 885	, 0
6		, 0.12092	, 827	, 0
