

app  = aes
algo = union
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=8 -ise-archi-max-output=1
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
DAG_size	, msecs		, it	, candidate_found
1		, 0.02030	, 4926	, 0
1		, 0.02037	, 4908	, 0
1		, 0.02071	, 4828	, 0
1		, 0.02075	, 4820	, 0
3		, 0.04829	, 2071	, 0
3		, 0.11161	, 896	, 1
3		, 0.19417	, 515	, 3
3		, 0.19417	, 515	, 3
3		, 0.19570	, 511	, 3
3		, 0.19570	, 511	, 3
3		, 0.19570	, 511	, 3
3		, 0.19608	, 510	, 3
3		, 0.19608	, 510	, 3
3		, 0.19608	, 510	, 3
3		, 0.19608	, 510	, 3
3		, 0.19685	, 508	, 3
3		, 0.19724	, 507	, 3
3		, 0.19724	, 507	, 3
4		, 0.05760	, 1736	, 0
4		, 0.05845	, 1711	, 0
4		, 0.11468	, 872	, 0
4		, 0.12595	, 794	, 1
4		, 0.12674	, 789	, 1
4		, 0.12821	, 780	, 1
4		, 0.12837	, 779	, 1
4		, 0.20833	, 480	, 3
5		, 0.20576	, 486	, 3
5		, 0.21978	, 455	, 3
5		, 0.27322	, 366	, 4
5		, 0.27548	, 363	, 4
5		, 0.33223	, 301	, 6
5		, 0.33223	, 301	, 6
5		, 0.33333	, 300	, 6
5		, 0.33333	, 300	, 6
5		, 0.33557	, 298	, 6
5		, 0.33557	, 298	, 6
5		, 0.33557	, 298	, 6
5		, 0.33557	, 298	, 6
5		, 0.33557	, 298	, 6
5		, 0.47619	, 210	, 10
5		, 0.48309	, 207	, 6
6		, 0.11834	, 845	, 1
6		, 0.12107	, 826	, 1
6		, 0.12210	, 819	, 1
6		, 0.12225	, 818	, 1
6		, 0.18832	, 531	, 2
6		, 0.21186	, 472	, 3
6		, 0.21231	, 471	, 3
6		, 0.23148	, 432	, 3
6		, 0.23148	, 432	, 3
6		, 0.23202	, 431	, 3
6		, 0.23310	, 429	, 3
6		, 0.23310	, 429	, 3
6		, 0.23310	, 429	, 3
6		, 0.23364	, 428	, 3
6		, 0.23419	, 427	, 3
6		, 0.23419	, 427	, 3
6		, 0.23474	, 426	, 3
6		, 0.33333	, 300	, 4
6		, 0.33333	, 300	, 4
6		, 0.33333	, 300	, 4
6		, 0.33333	, 300	, 4
6		, 0.33333	, 300	, 4
6		, 0.33445	, 299	, 4
6		, 0.54054	, 185	, 11
6		, 0.54348	, 184	, 11
6		, 0.71429	, 140	, 17
6		, 0.71942	, 139	, 17
6		, 0.71942	, 139	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
6		, 0.72464	, 138	, 17
7		, 0.43103	, 232	, 5
7		, 0.43103	, 232	, 5
7		, 0.49020	, 204	, 10
7		, 0.64935	, 154	, 13
7		, 0.64935	, 154	, 13
7		, 0.64935	, 154	, 13
7		, 0.68027	, 147	, 13
7		, 0.68027	, 147	, 15
7		, 0.68027	, 147	, 15
7		, 0.68027	, 147	, 15
7		, 0.68027	, 147	, 15
8		, 0.34722	, 288	, 6
8		, 0.34965	, 286	, 6
8		, 0.35088	, 285	, 6
8		, 0.49020	, 204	, 10
8		, 0.49261	, 203	, 10
8		, 0.49505	, 202	, 10
8		, 0.49505	, 202	, 10
8		, 0.49505	, 202	, 10
8		, 0.49751	, 201	, 10
8		, 0.56818	, 176	, 11
8		, 0.78740	, 127	, 14
8		, 1.12360	, 89	, 28
9		, 0.38023	, 263	, 5
9		, 0.38461	, 260	, 5
9		, 0.38610	, 259	, 5
9		, 1.04167	, 96	, 25
10		, 0.40984	, 244	, 5
10		, 0.41152	, 243	, 5
10		, 0.50000	, 200	, 8
10		, 1.60317	, 63	, 38
10		, 1.98039	, 51	, 17
11		, 1.00000	, 100	, 19
11		, 2.52500	, 40	, 39
12		, 1.77193	, 57	, 41
12		, 1.77193	, 57	, 41
12		, 1.77193	, 57	, 41
13		, 1.04167	, 96	, 23
14		, 0.74074	, 135	, 11
14		, 1.17647	, 85	, 22
14		, 1.17647	, 85	, 22
14		, 1.17647	, 85	, 22
14		, 1.94231	, 52	, 44
15		, 2.50000	, 40	, 28
17		, 0.87719	, 114	, 10
17		, 1.05263	, 95	, 16
22		, 3.81481	, 27	, 25
24		, 3.33333	, 30	, 23
25		, 3.32258	, 31	, 23
25		, 3.33333	, 30	, 23
28		, 4.20833	, 24	, 29
29		, 2.75676	, 37	, 33
29		, 4.20833	, 24	, 29
29		, 4.25000	, 24	, 29
29		, 5.88235	, 17	, 36
31		, 0.78740	, 127	, 7
31		, 2.63158	, 38	, 45
31		, 2.63158	, 38	, 45
33		, 8.07692	, 13	, 41
33		, 8.07692	, 13	, 41
33		, 8.07692	, 13	, 41
34		, 2.91429	, 35	, 48
34		, 2.91429	, 35	, 48
34		, 2.94118	, 34	, 48
35		, 0.86207	, 116	, 7
35		, 0.87719	, 114	, 7
35		, 3.25806	, 31	, 49
42		, 2.56410	, 39	, 40
54		, 1.88679	, 53	, 18
54		, 3605.00000	, 2	, 66
67		, 5.00000	, 20	, 78
68		, 36.66670	, 3	, 81
73		, 9071.50000	, 2	, 87
73		, 9098.50000	, 2	, 87
73		, 9110.00000	, 2	, 87
75		, 1.28205	, 78	, 7
91		, 9.09091	, 11	, 121
91		, 9.09091	, 11	, 121
115		, 3.00000	, 34	, 19
126		, 176.50000	, 2	, 2886
131		, 3.25806	, 31	, 19
131		, 3.36667	, 30	, 19
131		, 3.43333	, 30	, 19
132		, 191.50000	, 2	, 2898
133		, 9.09091	, 11	, 110
176		, 72982.00000	, 1	, 161
286		, 124.00000	, 2	, 1016
302		, 133.50000	, 2	, 1080
311		, 136.00000	, 2	, 1128
311		, 138.50000	, 2	, 1128
691		, 21029.00000	, 1	, 3234
721		, 93251.00000	, 1	, 3956
970		, 78867.00000	, 1	, 5550
1079		, 1064890.00000	, 1	, 4677
1154		, 	, 	, 
1407		, 2682.00000	, 2	, 5080
1524		, 2975.50000	, 2	, 5623
