

app  = aes
algo = multicut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=8 -ise-archi-max-output=2
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
- changing value of MaxOutput_: 2
mv: cannot stat `cand*.dat': No such file or directory
# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
- changing value of MaxOutput_: 2
DAG_size	, msecs		, it	, candidate_found
3		, 0.07364	, 1358	, 0
3		, 0.07513	, 1331	, 0
3		, 0.07530	, 1328	, 0
3		, 0.07559	, 1323	, 0
3		, 0.07581	, 1319	, 0
3		, 0.07610	, 1314	, 0
3		, 0.07657	, 1306	, 0
4		, 0.08258	, 1211	, 0
4		, 0.08347	, 1198	, 0
4		, 0.08368	, 1195	, 0
4		, 0.16260	, 615	, 0
5		, 0.08921	, 1121	, 0
5		, 0.21277	, 470	, 0
5		, 0.29070	, 344	, 0
5		, 0.29154	, 343	, 0
5		, 0.29325	, 341	, 0
5		, 0.29325	, 341	, 0
5		, 0.29325	, 341	, 0
5		, 0.29325	, 341	, 0
5		, 0.29325	, 341	, 0
5		, 0.29412	, 340	, 0
5		, 0.29412	, 340	, 0
6		, 0.11173	, 895	, 0
6		, 0.11389	, 878	, 0
6		, 0.11416	, 876	, 0
6		, 0.14084	, 710	, 0
6		, 0.14164	, 706	, 0
6		, 0.14225	, 703	, 0
6		, 0.14245	, 702	, 0
6		, 0.14286	, 700	, 0
6		, 0.14286	, 700	, 0
6		, 0.14347	, 697	, 0
6		, 0.14347	, 697	, 0
6		, 0.14451	, 692	, 0
6		, 0.25510	, 392	, 0
6		, 0.25641	, 390	, 0
6		, 0.25707	, 389	, 0
6		, 0.25707	, 389	, 0
6		, 0.25707	, 389	, 0
6		, 0.25773	, 388	, 0
6		, 0.26042	, 384	, 0
6		, 0.70422	, 142	, 0
6		, 0.70922	, 141	, 0
6		, 0.71429	, 140	, 0
6		, 0.71429	, 140	, 0
6		, 0.71429	, 140	, 0
6		, 0.71429	, 140	, 0
6		, 0.71429	, 140	, 0
6		, 0.71429	, 140	, 0
6		, 0.71942	, 139	, 0
6		, 0.71942	, 139	, 0
6		, 0.71942	, 139	, 0
7		, 1.07527	, 93	, 0
7		, 1.09890	, 91	, 0
7		, 1.09890	, 91	, 0
7		, 1.09890	, 91	, 0
7		, 2.00000	, 50	, 0
8		, 0.30864	, 324	, 0
8		, 0.31153	, 321	, 0
8		, 0.31250	, 320	, 0
8		, 0.32258	, 310	, 0
8		, 0.32362	, 309	, 0
8		, 0.32362	, 309	, 0
8		, 0.32467	, 308	, 0
8		, 0.32467	, 308	, 0
8		, 0.32467	, 308	, 0
8		, 4.76190	, 21	, 0
9		, 0.43478	, 230	, 0
10		, 9.27273	, 11	, 0
11		, 48.00000	, 3	, 0
12		, 33.25000	, 4	, 0
12		, 33.33330	, 3	, 0
12		, 33.33330	, 3	, 0
14		, 148.50000	, 2	, 0
14		, 150.50000	, 2	, 0
14		, 150.50000	, 2	, 0
15		, 223.50000	, 2	, 0
24		, 597.50000	, 2	, 0
25		, 601.00000	, 2	, 0
25		, 606.50000	, 2	, 0
28		, 1595.00000	, 2	, 0
29		, 1600.00000	, 2	, 0
29		, 1624.50000	, 2	, 0
31		, 16303.00000	, 2	, 0
31		, 5.42105	, 19	, 0
33		, 17542.50000	, 2	, 0
33		, 17590.00000	, 2	, 0
33		, 17590.50000	, 2	, 0
34		, 23159.00000	, 1	, 0
34		, 23212.00000	, 1	, 0
34		, 23248.00000	, 1	, 0
35		, 5.83333	, 18	, 0
35		, 6.25000	, 16	, 0
42		, 15727.00000	, 2	, 0
73		, 741973.00000	, 1	, 0
73		, 752480.00000	, 1	, 0
73		, 752833.00000	, 1	, 0
115		, 2303.00000	, 2	, 0
131		, 2664.50000	, 2	, 0
131		, 2763.00000	, 2	, 0
133		, 	, 	, 
