

app  = cjpeg
algo = singlecut
arch = virtex
opt  = -ise-alarm-stop=3600 -ise-archi-max-input=8 -ise-archi-max-output=2
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
- changing value of MaxOutput_: 2
===-------------------------------------------------------------------------===
                      ... Pass execution timing report ...
===-------------------------------------------------------------------------===
  Total Execution Time: 0.4079 seconds (0.4719 wall clock)

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  ---Mem---  --- Name ---
   0.4029 ( 99.7%)   0.0040 (100.0%)   0.4069 ( 99.7%)   0.4689 ( 99.3%)      11784  instruction-set extension (identification & selection)
   0.0010 (  0.2%)   0.0000 (  0.0%)   0.0010 (  0.2%)   0.0017 (  0.3%)        136  Module Verifier
   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0011 (  0.2%)      10000  Dominator Tree Construction
   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)          0  Preliminary module verification
   0.4039 (100.0%)   0.0040 (100.0%)   0.4079 (100.0%)   0.4719 (100.0%)      21920  TOTAL

# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
- changing value of MaxInput_: 8
- changing value of MaxOutput_: 2
DAG_size	, msecs		, it	, candidate_found
2		, 0.02384	, 4195	, 0
2		, 0.02387	, 4189	, 0
2		, 0.02393	, 4179	, 0
2		, 0.02396	, 4174	, 0
2		, 0.02403	, 4161	, 0
2		, 0.02410	, 4150	, 0
2		, 0.02414	, 4142	, 0
2		, 0.02415	, 4141	, 0
2		, 0.02415	, 4141	, 0
2		, 0.02417	, 4138	, 0
2		, 0.02418	, 4136	, 0
2		, 0.02426	, 4122	, 0
2		, 0.02435	, 4107	, 0
2		, 0.02435	, 4107	, 0
2		, 0.02436	, 4105	, 0
2		, 0.02439	, 4100	, 0
2		, 0.02447	, 4086	, 0
2		, 0.02454	, 4075	, 0
2		, 0.02458	, 4068	, 0
2		, 0.02459	, 4067	, 0
2		, 0.02467	, 4053	, 0
2		, 0.02473	, 4044	, 0
2		, 0.02479	, 4034	, 0
2		, 0.02479	, 4034	, 0
2		, 0.02496	, 4006	, 0
2		, 0.02498	, 4004	, 0
2		, 0.02499	, 4002	, 0
3		, 0.02785	, 3591	, 0
3		, 0.02843	, 3517	, 0
3		, 0.02895	, 3454	, 0
3		, 0.02919	, 3426	, 0
3		, 0.02920	, 3425	, 0
3		, 0.02923	, 3421	, 0
3		, 0.02949	, 3391	, 0
3		, 0.02959	, 3379	, 1
3		, 0.02974	, 3362	, 0
3		, 0.03004	, 3329	, 0
3		, 0.03027	, 3304	, 0
3		, 0.03070	, 3257	, 1
3		, 0.03076	, 3251	, 0
3		, 0.03100	, 3226	, 1
3		, 0.03100	, 3226	, 1
3		, 0.03108	, 3218	, 1
3		, 0.03118	, 3207	, 1
3		, 0.03153	, 3172	, 1
3		, 0.03384	, 2955	, 3
3		, 0.03386	, 2953	, 3
3		, 0.03386	, 2953	, 3
3		, 0.03390	, 2950	, 1
3		, 0.03391	, 2949	, 3
3		, 0.03418	, 2926	, 3
3		, 0.03449	, 2899	, 3
4		, 0.03380	, 2959	, 0
4		, 0.03482	, 2872	, 1
4		, 0.03768	, 2654	, 1
4		, 0.03799	, 2632	, 1
4		, 0.03836	, 2607	, 1
4		, 0.03843	, 2602	, 1
4		, 0.04019	, 2488	, 3
4		, 0.04037	, 2477	, 3
4		, 0.04072	, 2456	, 1
4		, 0.04100	, 2439	, 3
5		, 0.04500	, 2222	, 3
5		, 0.04688	, 2133	, 3
5		, 0.04719	, 2119	, 3
5		, 0.06373	, 1569	, 6
5		, 0.06519	, 1534	, 6
5		, 0.06527	, 1532	, 6
5		, 0.06588	, 1518	, 6
5		, 0.06614	, 1512	, 6
5		, 0.06623	, 1510	, 6
5		, 0.06671	, 1499	, 6
5		, 0.06702	, 1492	, 6
6		, 0.04369	, 2289	, 1
6		, 0.05000	, 2000	, 1
6		, 0.05411	, 1848	, 3
6		, 0.05461	, 1831	, 3
6		, 0.05519	, 1812	, 3
6		, 0.05522	, 1811	, 3
6		, 0.05618	, 1780	, 5
7		, 0.06812	, 1468	, 8
7		, 0.06812	, 1468	, 8
7		, 0.06826	, 1465	, 8
7		, 0.06831	, 1464	, 8
7		, 0.06835	, 1463	, 8
7		, 0.06878	, 1454	, 8
7		, 0.06882	, 1453	, 8
7		, 0.06892	, 1451	, 8
7		, 0.06901	, 1449	, 8
7		, 0.06906	, 1448	, 8
7		, 0.06911	, 1447	, 8
7		, 0.06916	, 1446	, 8
7		, 0.06920	, 1445	, 8
7		, 0.06930	, 1443	, 8
7		, 0.06949	, 1439	, 8
7		, 0.06969	, 1435	, 8
7		, 0.06978	, 1433	, 8
7		, 0.06988	, 1431	, 8
7		, 0.06993	, 1430	, 8
7		, 0.07485	, 1336	, 7
7		, 0.16529	, 605	, 50
8		, 0.06793	, 1472	, 3
8		, 0.07463	, 1340	, 8
8		, 0.07530	, 1328	, 8
8		, 0.11074	, 903	, 11
8		, 0.11099	, 901	, 11
9		, 0.05679	, 1761	, 1
9		, 0.05848	, 1710	, 1
9		, 0.06068	, 1648	, 3
9		, 0.06075	, 1646	, 1
9		, 0.10101	, 990	, 10
9		, 0.10811	, 925	, 20
9		, 0.13717	, 729	, 22
10		, 0.05605	, 1784	, 3
10		, 0.05821	, 1718	, 1
10		, 0.06653	, 1503	, 3
10		, 0.11312	, 884	, 10
10		, 0.11481	, 871	, 10
10		, 0.11494	, 870	, 10
10		, 0.11779	, 849	, 14
10		, 0.13280	, 753	, 28
10		, 0.25063	, 399	, 36
10		, 0.34965	, 286	, 93
11		, 0.12887	, 776	, 10
11		, 0.12920	, 774	, 10
14		, 0.09099	, 1099	, 1
15		, 0.28409	, 352	, 14
15		, 0.42194	, 237	, 77
15		, 0.42735	, 234	, 77
