

app  = aes
algo = maxmiso
arch = virtex
opt  = -ise-alarm-stop=3600
gcc =   -emit-llvm
# calculating candidates
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
===-------------------------------------------------------------------------===
                      ... Pass execution timing report ...
===-------------------------------------------------------------------------===
  Total Execution Time: 0.6249 seconds (0.6247 wall clock)

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  ---Mem---  --- Name ---
   0.5949 ( 97.0%)   0.0119 (100.0%)   0.6069 ( 97.1%)   0.6067 ( 97.1%)      14120  instruction-set extension (identification & selection)
   0.0179 (  2.9%)   0.0000 (  0.0%)   0.0179 (  2.8%)   0.0160 (  2.5%)        136  Module Verifier
   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0018 (  0.2%)         16  Dominator Tree Construction
   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0000 (  0.0%)   0.0001 (  0.0%)          0  Preliminary module verification
   0.6129 (100.0%)   0.0119 (100.0%)   0.6249 (100.0%)   0.6247 (100.0%)      14272  TOTAL

# calculating benchmarking results
WARNING: no profiling information found, assuming uniform distribution
Selected architecture: P20ArchitectureVirtexFx
Default settings: 
 * CommInBusCLK: 2
 * CommOutBusCLK_: 2
 * CommInBusWidth_: 2
 * CommOutBusWidth_: 1
 * MaxCI: 7
 * MaxInput: 6
 * MaxOutput: 1
DAG_size	, msecs		, it	, candidate_found
1		, 0.01440	, 6943	, 0
1		, 0.01457	, 6863	, 0
1		, 0.01468	, 6813	, 0
1		, 0.01468	, 6812	, 0
3		, 0.02273	, 4399	, 1
3		, 0.02322	, 4307	, 1
3		, 0.02347	, 4261	, 1
3		, 0.02355	, 4247	, 0
3		, 0.02364	, 4230	, 1
3		, 0.02380	, 4201	, 1
3		, 0.02387	, 4190	, 0
3		, 0.02420	, 4133	, 1
3		, 0.02439	, 4100	, 1
3		, 0.02450	, 4081	, 1
3		, 0.02472	, 4046	, 1
3		, 0.02472	, 4046	, 1
3		, 0.02502	, 3997	, 1
3		, 0.02500	, 4000	, 1
4		, 0.02647	, 3778	, 0
4		, 0.02676	, 3737	, 1
4		, 0.02693	, 3713	, 0
4		, 0.02709	, 3691	, 0
4		, 0.02729	, 3664	, 0
4		, 0.02755	, 3630	, 0
4		, 0.02803	, 3568	, 0
4		, 0.02815	, 3552	, 0
4		, 0.02823	, 3542	, 0
4		, 0.02854	, 3504	, 0
4		, 0.02890	, 3460	, 0
5		, 0.02959	, 3380	, 1
5		, 0.02990	, 3345	, 1
5		, 0.02995	, 3339	, 1
5		, 0.03008	, 3324	, 1
5		, 0.03013	, 3319	, 1
5		, 0.03029	, 3301	, 1
5		, 0.03044	, 3285	, 1
5		, 0.03045	, 3284	, 1
5		, 0.03061	, 3267	, 1
5		, 0.03067	, 3261	, 1
5		, 0.03074	, 3253	, 1
5		, 0.03103	, 3223	, 1
5		, 0.03114	, 3211	, 1
5		, 0.03162	, 3163	, 1
5		, 0.03216	, 3109	, 2
6		, 0.03149	, 3176	, 1
6		, 0.03159	, 3166	, 1
6		, 0.03178	, 3147	, 1
6		, 0.03179	, 3146	, 1
6		, 0.03223	, 3103	, 1
6		, 0.03235	, 3091	, 1
6		, 0.03245	, 3082	, 1
6		, 0.03253	, 3074	, 1
6		, 0.03256	, 3071	, 0
6		, 0.03258	, 3069	, 1
6		, 0.03267	, 3061	, 1
6		, 0.03270	, 3058	, 1
6		, 0.03272	, 3056	, 1
6		, 0.03274	, 3054	, 1
6		, 0.03282	, 3047	, 1
6		, 0.03286	, 3043	, 1
6		, 0.03297	, 3033	, 1
6		, 0.03297	, 3033	, 1
6		, 0.03299	, 3031	, 1
6		, 0.03304	, 3027	, 1
6		, 0.03344	, 2990	, 1
6		, 0.03374	, 2964	, 0
6		, 0.03374	, 2964	, 1
6		, 0.03479	, 2874	, 1
6		, 0.03531	, 2832	, 1
6		, 0.03554	, 2814	, 1
6		, 0.03571	, 2800	, 0
6		, 0.03571	, 2800	, 0
6		, 0.03578	, 2795	, 0
6		, 0.03583	, 2791	, 1
6		, 0.03588	, 2787	, 1
6		, 0.03589	, 2786	, 0
6		, 0.03600	, 2778	, 1
6		, 0.03600	, 2778	, 1
6		, 0.03601	, 2777	, 1
6		, 0.03610	, 2770	, 1
6		, 0.03613	, 2768	, 0
6		, 0.03640	, 2747	, 1
6		, 0.03642	, 2746	, 0
7		, 0.03578	, 2795	, 1
7		, 0.03660	, 2732	, 1
7		, 0.03670	, 2725	, 1
7		, 0.03689	, 2711	, 1
7		, 0.03748	, 2668	, 1
7		, 0.03771	, 2652	, 2
7		, 0.03827	, 2613	, 2
7		, 0.03834	, 2608	, 2
7		, 0.03836	, 2607	, 2
7		, 0.03890	, 2571	, 2
7		, 0.03906	, 2560	, 2
8		, 0.03812	, 2623	, 1
8		, 0.03830	, 2611	, 1
8		, 0.03833	, 2609	, 1
8		, 0.03849	, 2598	, 1
8		, 0.03874	, 2581	, 1
8		, 0.03876	, 2580	, 1
8		, 0.03888	, 2572	, 1
8		, 0.03954	, 2529	, 1
8		, 0.03984	, 2510	, 1
8		, 0.04045	, 2472	, 1
8		, 0.04125	, 2424	, 1
8		, 0.04209	, 2376	, 2
9		, 0.04281	, 2336	, 1
9		, 0.04610	, 2169	, 1
9		, 0.04632	, 2159	, 1
9		, 0.04739	, 2110	, 1
10		, 0.04677	, 2138	, 1
10		, 0.04878	, 2050	, 3
10		, 0.04924	, 2031	, 1
10		, 0.05056	, 1978	, 3
10		, 0.05061	, 1976	, 3
11		, 0.05023	, 1991	, 2
11		, 0.05157	, 1939	, 3
12		, 0.05255	, 1903	, 2
12		, 0.05302	, 1886	, 2
12		, 0.05429	, 1842	, 2
13		, 0.05593	, 1788	, 2
14		, 0.06039	, 1656	, 3
14		, 0.06075	, 1646	, 4
14		, 0.06127	, 1632	, 4
14		, 0.06169	, 1621	, 4
14		, 0.06418	, 1558	, 2
15		, 0.06532	, 1531	, 3
17		, 0.07241	, 1381	, 2
17		, 0.07246	, 1380	, 2
22		, 0.08811	, 1135	, 8
24		, 0.09653	, 1036	, 4
25		, 0.09699	, 1031	, 4
25		, 0.09980	, 1002	, 4
28		, 0.10881	, 919	, 5
29		, 0.11013	, 908	, 5
29		, 0.11186	, 894	, 5
29		, 0.11351	, 881	, 5
29		, 0.11723	, 853	, 6
31		, 0.11455	, 873	, 1
31		, 0.12165	, 822	, 15
31		, 0.12315	, 812	, 15
33		, 0.12500	, 800	, 11
33		, 0.12595	, 794	, 11
33		, 0.12595	, 794	, 11
34		, 0.13141	, 761	, 16
34		, 0.13141	, 761	, 16
34		, 0.13141	, 761	, 16
35		, 0.12531	, 798	, 1
35		, 0.12531	, 798	, 1
35		, 0.13316	, 751	, 15
42		, 0.15152	, 660	, 5
54		, 0.18657	, 536	, 1
54		, 0.20747	, 482	, 17
67		, 0.22124	, 452	, 13
68		, 0.23364	, 428	, 20
73		, 0.27701	, 361	, 17
73		, 0.28090	, 356	, 17
73		, 0.28169	, 355	, 17
75		, 0.25252	, 396	, 1
91		, 0.30030	, 333	, 27
91		, 0.30212	, 331	, 27
115		, 0.38461	, 260	, 1
126		, 0.40486	, 247	, 23
131		, 0.42735	, 234	, 1
131		, 0.42918	, 233	, 1
131		, 0.44248	, 226	, 1
132		, 0.42194	, 237	, 25
133		, 0.45045	, 222	, 16
176		, 0.61728	, 162	, 36
286		, 0.90090	, 111	, 48
302		, 0.98039	, 102	, 48
311		, 0.99010	, 101	, 48
311		, 1.00000	, 100	, 48
691		, 2.27273	, 44	, 115
721		, 2.40476	, 42	, 123
970		, 3.25806	, 31	, 166
1079		, 3.57143	, 28	, 179
1154		, 3.81481	, 27	, 198
1407		, 4.68182	, 22	, 240
1524		, 5.00000	, 20	, 239
1619		, 5.61111	, 18	, 286
